"image","xmin","ymin","xmax","ymax","label"
"16wah3.jpg",606.8034557235421,458.3633093525181,754.7300215982722,551.136690647482,"plate"
"1y4o6d.jpg",588.8552915766737,239.07869481765835,703.5853131749459,310.9404990403071,"plate"
"0ok5hw.jpg",706.3498920086392,334.4337811900192,807.2570194384449,393.8579654510557,"plate"
"0ok5hw.jpg",182.28941684665224,304.5381477927063,254.87580993520515,352.18330134357,"plate"
"0iuunu.jpg",456.2634989200863,453.460292706334,597.1490280777538,533.4357005758158,"plate"
"1u9q4z.jpg",1208.8120950323976,31.094049904030708,1319.8785097192226,107.20159548944338,"plate"
"2sqg9j.jpg",76.71706263498923,327.5239923224567,205.26997840172788,422.87907869481745,"plate"
"2q8wet.jpg",1492.872570194385,928.6756238003838,1631.7521598272147,1034.3953934740882,"plate"
"ztp5pn.jpg",989.0280777537798,362.76391554702485,1132.0950323974087,470.556621880998,"plate"
"468s3q.jpg",429.8920086393087,319.2322456813819,548.768898488121,406.29558541266795,"plate"
"337tf4.jpg",962.0734341252702,246.67946257197696,1119.6544276457885,352.39923224568133,"plate"
"zg9ygd.jpg",655.205183585313,294.35700575815736,782.3758099352051,377.2744721689059,"plate"
"yuqrm8.jpg",917.8401727861769,121.61228406909788,1018.7473002159827,197.61996161228404,"plate"
"zthhhz.jpg",400.1727861771059,101.57389635316696,541.1663066954645,203.14779270633395,"plate"
"xic1el.jpg",1065.745140388769,176.19961612284064,1217.1058315334774,283.9923224568138,"plate"
"xyn5n2.jpg",1123.8012958963284,265.3358925143953,1279.3088552915767,371.05566218809975,"plate"
"x1up8p.jpg",976.5874730021601,53.89635316698656,1084.406047516199,128.52207293666024,"plate"
"wvcu4t.jpg",577.5269978401727,449.5791366906475,675.5345572354211,513.134892086331,"plate"
"xdhq8a.jpg",1053.3045356371488,89.78417266187051,1245.4427645788337,180.9496402877698,"plate"
"xarcw2.jpg",389.8056155507561,209.36660268714007,543.2397408207344,302.6487523992321,"plate"
"x5mut4.jpg",1064.362850971922,145.10556621880997,1159.740820734341,200.383877159309,"plate"
"w08ovi.jpg",692.526997840173,140.95969289827255,848.0345572354213,244.60652591170816,"plate"
"w31ws0.jpg",579.1792656587472,337.1976967370441,725.7019438444925,422.8790786948176,"plate"
"vkpxdr.jpg",151.36069114470843,878.9251439539347,354.5572354211663,1024.0307101727446,"plate"
"vipuh1.jpg",682.8509719222462,4.145873320537428,850.1079913606911,98.1190019193858,"plate"
"vmzv7b.jpg",337.9697624190065,87.06333973128598,487.25701943844496,182.41842610364677,"plate"
"uqxrf1.jpg",648.9848812095034,223.8771593090211,835.5939524838013,325.451055662188,"plate"
"u8z9zk.jpg",660.7343412526998,223.8771593090211,771.3174946004318,295.7389635316698,"plate"
"u0pubs.jpg",312.39740820734335,390.9064748201439,474.12526997840166,497.26618705035975,"plate"
"tl5o8q.jpg",45.61555075593952,88.44529750479846,139.61123110151183,146.48752399232245,"plate"
"twwoyh.jpg",1134.1684665226783,422.8790786948176,1281.3822894168468,543.1094049904029,"plate"
